,MEASURE_PAYLOAD_SIZE_BYTE,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
262,18,1800,0,1.0,0.0,0.0,69975.75993617145,169.02357472505182,23.625902182047085,983.1117839992767
263,18,1800,0,0.9565217391304348,0.0,0.0,44873.351377996296,108.38973762801038,23.625902182048907,983.1117839992767
264,18,1800,0,0.9545454545454546,0.0,0.0,44581.83754687403,112.58039784564149,23.670200920017887,983.1117839992767
265,18,1800,0,1.0,0.0,0.0,46781.68526391378,123.76107212675603,23.71871858541572,982.6278919992747
266,18,1800,0,1.0,0.0,0.0,84086.6758977731,222.45152353908225,23.71871858541572,982.6278919992747
267,18,1800,0,0.9545454545454546,0.0,0.0,86414.36919485664,218.21810402741576,23.670200920017887,982.6278919992747
268,18,1800,0,0.9545454545454546,0.0,0.0,69757.48373258866,176.15526195098147,23.670200920017887,982.6278919992819
269,18,1800,0,0.9130434782608695,0.0,0.0,67929.84704142433,164.0817561387061,23.625902182049135,982.6278919992819
270,18,1800,0,0.9090909090909091,0.0,0.0,67918.36192414511,171.5110149599624,23.6702009200186,982.6278919992819
271,18,1800,0,0.9545454545454546,0.0,0.0,66574.27906558731,168.11686632724067,23.670200920018836,982.6278919992819
272,18,1800,0,0.9545454545454546,0.0,0.0,66685.91785127712,168.39878245271998,23.670200920017887,982.6278919992819
273,18,1800,0,0.9130434782608695,0.0,0.0,56927.459409984,137.5059406038261,23.625902182046172,982.6278919992819
274,18,1800,0,0.9545454545454546,0.0,0.0,48035.13950007967,121.3008573234335,23.670200920017887,982.6278920015866
275,18,1800,0,1.0,0.0,0.0,43347.10715764211,114.67488666042885,23.71871858541572,982.6278920015866
276,18,1800,0,1.0,0.0,0.0,81721.40704610977,216.19419853468193,23.71871858541572,982.6278920015866
277,18,1800,1,1.0,0.0,0.9545454545454546,55528.009782867826,73.4497483900368,12.036485692697909,971.1771000000999
278,18,1800,1,0.9565217391304348,0.0,0.875,53172.41054696459,67.13688200374317,12.518978613332818,971.1771000000999
279,18,1800,1,1.0,0.0,0.9130434782608696,81063.72525191073,104.7334951575074,12.283342535813384,971.1771000000999
280,18,1800,1,0.9565217391304348,0.0,0.875,48080.73007202726,60.707992515185936,12.518978613332818,902.5563199995659
281,18,1800,2,0.9545454545454546,0.015151515151515152,0.9555555555555556,93849.03366213497,24.827786683104488,5.13894557524017,946.0889292305028
282,18,1800,2,0.9130434782608695,0.0,0.88,57537.62787662228,36.324260023120125,6.690662516672009,946.0889292305028
283,18,1800,2,0.9090909090909091,0.015151515151515152,0.5,91636.64519201672,47.578735821400166,9.53583563664218,946.0889292305028
284,18,1800,2,0.9130434782608695,0.014492753623188406,0.875,74934.25939692135,64.04637555292423,8.588836427488225,600.5091320000538
285,18,1800,2,1.0,0.0,0.9565217391304348,66473.97113513782,24.619989309310306,3.774318805158781,600.5091320000538
286,18,1800,3,1.0,0.0,0.9130434782608696,83083.62558610117,54.30302325888966,6.3889687840049305,948.1966722936086
287,18,1800,3,0.9090909090909091,0.0,0.9166666666666666,87173.96334653992,56.31392981042631,6.578752543260926,948.1966722936086
288,20,1800,0,1.0,0.0,0.0,74520.44290200733,177.4296259571603,21.39998464686944,815.5465640000975
289,20,1800,0,1.0,0.0,0.0,73107.12414841357,174.0645813057466,21.39998464686944,815.5465640000975
290,20,1800,0,1.0,0.0,0.0,77557.41800847668,176.2668591101743,21.356318748011724,815.5465640000975
291,20,1800,0,1.0,0.0,0.0,91210.50937997896,207.2966122272249,21.356318748011724,902.5426999999218
292,20,1800,0,1.0,0.0,0.0,87305.13090461594,189.79376283612163,21.316449883837286,902.5426999999218
293,20,1800,0,1.0,0.0,0.0,84729.02723307109,192.56597098425246,21.356318748011724,902.5426999999218
294,20,1800,0,1.0,0.0,0.0,60120.179583023775,130.69604257179083,21.316449883837286,902.2443359991375
