,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,children,pdr,plr,aggregation_efficiency,energy,latency
116,1800,450,0,1.0,0.0,0.0,124411.58541797765,124411.58541797765
117,1800,450,1,0.9565217391304348,0.043478260869565216,0.9565217391304348,95350.30987421118,95350.30987421118
118,1800,450,1,1.0,0.0,0.9166666666666666,90839.53344611665,90839.53344611665
119,1800,450,1,1.0,0.0,0.6333333333333333,129406.16128820294,129406.16128820294
120,1800,450,1,1.0,0.0,0.7931034482758621,105877.61810436643,105877.61810436643
121,1800,450,1,0.9565217391304348,0.043478260869565216,0.696969696969697,96004.79536118702,96004.79536118702
122,1800,450,2,1.0,0.0,0.9565217391304348,130885.69133276484,130885.69133276484
123,1800,450,2,1.0,0.043478260869565216,0.8181818181818181,96309.37408384391,96309.37408384391
124,1800,450,2,1.0,0.0,0.9473684210526316,126673.13161705826,126673.13161705826
125,1800,450,2,1.0,0.0,0.95,117197.31999617441,117197.31999617441
126,1800,450,2,1.0,0.0,0.9523809523809523,107493.31519875275,107493.31519875275
127,1800,450,3,1.0,0.0,0.9523809523809523,137238.6452530417,137238.6452530417
128,1800,540,0,1.0,0.0,0.0,119099.84445008267,119099.84445008267
129,1800,540,0,1.0,0.0,0.0,117428.30589859966,117428.30589859966
130,1800,540,0,1.0,0.0,0.0,122749.8622303971,122749.8622303971
131,1800,540,0,1.0,0.0,0.0,128656.32673209692,128656.32673209692
132,1800,540,0,1.0,0.0,0.0,122013.68634408158,122013.68634408158
133,1800,540,0,1.0,0.0,0.0,111139.81975895839,111139.81975895839
134,1800,540,0,1.0,0.0,0.0,110559.13875871556,110559.13875871556
135,1800,540,0,1.0,0.0,0.0,93386.82782255061,93386.82782255061
136,1800,540,0,1.0,0.0,0.0,89657.85820234816,89657.85820234816
137,1800,540,0,1.0,0.0,0.0,90155.75828261519,90155.75828261519
138,1800,540,0,1.0,0.0,0.0,124703.58974784454,124703.58974784454
139,1800,540,0,1.0,0.0,0.0,126559.34756624335,126559.34756624335
140,1800,540,0,1.0,0.0,0.0,122283.2070749517,122283.2070749517
141,1800,540,0,0.6956521739130435,0.30434782608695654,0.0,125939.30828196232,125939.30828196232
142,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,110737.51206245623,110737.51206245623
143,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,111220.19094823216,111220.19094823216
144,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,110992.26968183371,110992.26968183371
