,LORA_SF,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
88,9,1800,1,1.0,0.0,0.0,30087.07919874902,557.168133310167,77.82675706666897,1772.3387120004409
89,9,1800,2,1.0,0.0,0.0,32496.30047544681,541.6050079241135,77.04848949600668,2205.305392000455
90,9,1800,2,0.8,0.0,0.0,33020.57107553299,550.3428512588832,77.04848949600198,2860.5051399983477
91,9,1800,2,1.0,0.0,0.0,40844.92837110765,680.7488061851275,77.0484894960004,2384.9505159975506
92,9,1800,2,0.9,0.0,0.0,43749.92525540911,729.1654209234852,77.04848949600198,2475.144519997404
93,9,1800,2,0.8181818181818182,0.09090909090909091,0.0,43562.36948259347,660.0359012514162,76.41172512000027,2565.193151997304
94,9,1800,2,1.0,0.0,0.0,40436.87281108752,748.8309779831023,77.82675706666897,2655.109691998854
95,9,1800,2,0.9090909090909091,0.0,0.0,34461.90885842337,522.1501342185359,76.41172512000027,2745.158324003245
96,10,1800,0,0.6,0.4,0.0,47617.441184721116,793.6240197453519,81.27118287198024,973.269752000444
97,10,1800,0,1.0,0.0,0.0,49119.69377319794,744.237784442393,80.61123103998088,943.2484120005456
98,10,1800,0,1.0,0.0,0.0,55861.636466779295,846.3884313148378,80.61123103997801,792.6179839995493
99,10,1800,0,1.0,0.0,0.75,56484.64567576491,229.6123807957923,23.4245883863412,762.8561480009976
100,10,1800,0,1.0,0.0,0.0,53627.42443052881,893.7904071754801,81.27118287197709,732.7234440015491
101,10,1800,0,1.0,0.0,0.0,52397.815247403756,793.9062916273297,80.61123103997801,702.810236001551
102,10,1800,0,1.0,0.0,0.0,44793.3299316024,746.55549886004,81.27118287197709,929.6666872258379
103,10,1800,0,0.6,0.4,0.0,47662.64963761863,794.3774939603105,81.27118287198024,899.8374760004799
104,10,1800,0,1.0,0.0,0.9090909090909091,38847.00392902272,323.725032741856,42.05260263599469,869.8161360005815
105,10,1800,0,1.0,0.0,0.9090909090909091,37176.70250967507,144.09574616153128,20.811592519065254,839.6842920004283
106,10,1800,0,1.0,0.0,0.0,55680.79194327127,928.0131990545212,81.27118287197709,809.4574559993816
107,10,1800,0,1.0,0.0,0.9090909090909091,56803.8327191931,105.19228281332056,11.281604781332952,779.6956199994147
108,10,1800,0,1.0,0.0,0.0,56362.12300596816,853.9715606964874,80.61123103997801,749.9084119995223
109,10,1800,0,1.0,0.0,0.9090909090909091,52414.79164205347,436.78993035044556,42.05260263599469,719.9488319996744
110,10,1800,0,1.0,0.0,0.0,53772.58730745441,814.7361713250667,80.61123103998088,689.4238720012345
111,10,1800,1,0.8,0.1,0.9,34471.83646698144,191.51020259434134,26.512685466666067,1052.0635080003349
112,10,1800,1,0.9,0.1,0.0,32643.681672751194,544.06136121252,81.27118287197709,1159.5783640002492
113,10,1800,1,0.9090909090909091,0.0,0.8333333333333334,58482.70600838747,314.42315058272834,30.38667671741917,2508.4187839985752
114,10,1800,1,1.0,0.0,0.0,57778.69104108866,962.9781840181444,81.27118287197709,2748.418323997843
115,10,1800,1,1.0,0.0,0.0,51774.961827302504,862.9160304550418,81.27118287197709,2988.223531997939
116,10,1800,1,1.0,0.0,0.0,55954.939058867625,932.5823176477937,81.27118287197709,3591.6574360049344
117,10,1800,1,1.0,0.0,0.9090909090909091,51077.55700719371,425.64630839328095,42.05260263599469,3591.6574360049344
118,10,1800,1,1.0,0.0,0.9090909090909091,50346.6005853913,279.7033365855072,28.932508850666903,1891.581764004659
119,10,1800,1,1.0,0.0,0.0,39292.784436796515,654.8797406132752,81.27118287197709,1957.891696000408
120,10,1800,1,0.9090909090909091,0.0,0.0,32366.85457428351,490.4068874891441,80.61123103997801,2065.4668080004885
121,10,1800,2,0.8,0.1,0.0,32859.67432446097,547.6612387410162,81.27118287197709,1300.0603920003887
122,10,1800,2,0.7272727272727273,0.09090909090909091,0.0,34048.48695104202,515.886165924879,80.61123103997801,1407.6792920003636
123,10,1800,2,0.9090909090909091,0.0,0.0,44307.9362851946,671.332367957494,80.61123103997801,2756.5197119984377
124,10,1800,2,0.9090909090909091,0.0,0.0,45087.89398268646,683.1499088285827,80.61123103997801,2996.261251997612
125,10,1800,2,1.0,0.0,0.0,44654.54138907402,744.2423564845669,81.27118287197709,3236.066459997708
126,10,1800,2,1.0,0.0,0.0,42945.30826979286,715.755137829881,81.27118287197709,3839.1797720058967
127,10,1800,2,1.0,0.0,0.0,35088.136982716926,584.8022830452821,81.27118287198024,3939.609344007633
128,11,1800,0,1.0,0.0,0.0,50924.90962463742,943.0538819377299,90.73730355553757,875.6506919992144
129,11,1800,0,1.0,0.0,0.0,50734.87797778822,845.5812996298038,89.85827074398489,845.0482840006671
130,11,1800,0,1.0,0.0,0.0,60864.68783330484,1014.411463888414,89.85827074398647,815.1798199996065
131,11,1800,0,1.0,0.0,0.8888888888888888,59430.988224387766,247.6291176016157,21.555494114000837,785.4179839996395
132,11,1800,0,1.0,0.0,0.0,58697.09877790975,889.3499814834811,89.13906207998583,755.4341479996274
133,11,1800,0,1.0,0.0,0.0,56182.75616953991,936.3792694923319,89.85827074397861,725.3100399988725
134,11,1800,0,0.8888888888888888,0.0,0.0,46948.85551267672,869.423250234754,90.73730355554106,695.5925760002501
135,11,1800,0,1.0,0.0,0.0,51261.775925922935,854.3629320987155,89.85827074398489,665.0472360004533
136,11,1800,0,1.0,0.0,0.8181818181818181,40163.72369684035,352.3133657617575,48.636258370510596,634.9664240009697
137,11,1800,0,1.0,0.0,0.9090909090909091,38853.611848442066,175.0162695875769,27.120041519997475,968.5410080008023
138,11,1800,0,1.0,0.0,0.0,62857.83276082782,952.3914054670881,89.13906207998583,937.973228002339
139,11,1800,0,1.0,0.0,0.9166666666666666,63636.74500870042,225.6622163429093,24.118444520845312,908.1792119998381
140,11,1800,0,1.0,0.0,0.8333333333333334,61685.601804977465,263.6136829272541,27.975809140512464,878.1627479996259
141,11,1800,0,1.0,0.0,0.75,58183.20160818528,248.6461607187405,28.048476381537373,848.241275999464
142,11,1800,0,1.0,0.0,0.0,57073.31399895182,1056.9132222028113,90.73730355554106,818.4390840001233
143,11,1800,1,1.0,0.0,0.9090909090909091,36605.49073674587,321.1007959363673,48.63625837050895,2113.239576002905
144,11,1800,1,0.9,0.1,0.0,33881.0479707312,564.6841328455199,89.85827074398489,2293.661624002335
145,11,1800,1,1.0,0.0,0.9090909090909091,61712.65194171206,354.67041345811526,33.6241831806898,2472.7640360017595
146,11,1800,1,0.9090909090909091,0.0,0.0,62755.97723261866,950.8481398881614,89.13906207998583,2653.864203998897
147,11,1800,1,0.9090909090909091,0.0,0.0,56118.010445648346,850.2728855401265,89.13906207998583,2833.50973199924
148,11,1800,1,1.0,0.0,0.0,59533.170951839376,992.2195158639896,89.85827074398489,2968.381052001545
149,11,1800,1,1.0,0.0,0.8181818181818181,53176.97862412849,466.4647247730569,48.636258370510596,3119.133448004968
150,11,1800,1,0.9,0.1,0.8333333333333334,55077.34591686043,458.9778826405036,50.30179422398404,3355.219376005047
151,11,1800,1,1.0,0.0,0.9,40485.0586674867,232.67275096256725,31.091600137929465,1555.1014720023268
152,11,1800,1,0.9,0.0,0.0,32886.474057426654,548.1079009571109,89.85827074398331,1941.54871200034
153,11,1800,2,0.9090909090909091,0.0,0.0,34608.781045744574,524.3754703900693,89.13906207998583,2895.5346760029834
154,11,1800,2,1.0,0.0,0.0,34267.720270540995,571.1286711756833,89.85827074397861,3076.0653520025126
155,11,1800,2,0.9,0.0,0.0,46055.97966333114,767.599661055519,89.85827074398647,3255.1073920010786
156,11,1800,2,1.0,0.0,0.0,47838.66187568819,797.3110312614698,89.85827074397861,3436.425796001522
157,11,1800,2,0.9,0.1,0.0,47448.86471932772,790.8144119887953,89.85827074398489,3615.621359999226
158,11,1800,2,1.0,0.0,0.0,46007.37776316216,766.789629386036,89.85827074397861,3750.452928001596
159,11,1800,2,0.8181818181818182,0.09090909090909091,0.0,36316.943128505074,550.2567140682587,89.13906207998583,3901.590092005583
160,12,1800,0,1.0,0.0,0.0,58042.80033178908,967.380005529818,101.36440168798853,848.2462920013945
161,12,1800,0,1.0,0.0,0.0,58409.41498659964,973.4902497766606,101.36440168798853,818.5681840007146
162,12,1800,0,1.0,0.0,0.0,66137.49550966283,1102.2915918277138,101.36440168798853,788.3854880009421
163,12,1800,0,1.0,0.0,0.9,67585.92785255799,239.6664108246737,26.60087572765967,758.6656439996605
164,12,1800,0,1.0,0.0,0.0,67410.7201888277,1021.3745483155712,100.52667935998863,728.5621880000162
165,12,1800,0,1.0,0.0,0.0,63659.176581759886,964.5329785115134,100.52667935998863,698.8003520000493
