,MEASURE_INTERVAL_S,TX_COLLISION_TIMER_NOMINAL,hops,pdr,plr,aggregation_efficiency,energy
104,1800,450,0,1.0,0.0,0.8695652173913043,100690.86639430319
105,1800,450,0,1.0,0.0,0.0,128322.91893840581
106,1800,450,0,1.0,0.0,0.9130434782608696,131574.24521217635
107,1800,450,0,1.0,0.0,0.9444444444444444,130027.64568820706
108,1800,450,0,1.0,0.0,0.9,110448.64528982222
109,1800,450,0,1.0,0.0,0.0,128441.78002844391
110,1800,450,1,1.0,0.0,0.8888888888888888,99852.11961887017
111,1800,450,1,1.0,0.0,0.0,127829.99710972817
112,1800,450,1,0.9545454545454546,0.0,0.8888888888888888,136146.95408467867
113,1800,450,1,1.0,0.0,0.0,123946.61584700445
114,1800,450,1,1.0,0.0,0.9047619047619048,126821.10610115225
115,1800,450,1,1.0,0.0,0.9090909090909091,120740.26141871185
116,1800,450,1,0.9090909090909091,0.09090909090909091,0.9047619047619048,96602.75743394808
117,1800,450,1,1.0,0.0,0.0,90281.1894956068
118,1800,450,2,1.0,0.0,0.95,96494.97168770837
119,1800,450,2,1.0,0.0,0.0,93835.87389223556
120,1800,450,2,0.9090909090909091,0.09090909090909091,0.0,93976.71559013712
121,1800,450,2,1.0,0.0,0.0,114025.35071311348
122,1800,450,2,1.0,0.0,0.0,114269.17078750287
123,1800,450,2,0.9090909090909091,0.0,0.0,114847.67236617676
124,1800,450,2,0.9090909090909091,0.045454545454545456,0.9090909090909091,107796.53924183369
125,1800,450,2,0.9545454545454546,0.0,0.0,121181.26032748466
126,1800,450,3,1.0,0.0,0.0,94497.44056327855
127,1800,450,3,0.9090909090909091,0.045454545454545456,0.0,98339.11293934353
128,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,122229.89052453972
129,1800,540,0,1.0,0.0,0.0,122727.3078732733
130,1800,540,0,1.0,0.0,0.0,126663.07573593159
131,1800,540,0,1.0,0.0,0.9,135220.08932890836
132,1800,540,0,1.0,0.0,0.0,132288.1046398733
133,1800,540,0,1.0,0.0,0.0,125874.90369792037
134,1800,540,0,1.0,0.0,0.0,116133.47244364726
135,1800,540,0,1.0,0.0,0.0,116042.8093240244
136,1800,540,0,1.0,0.0,0.9090909090909091,101331.48802347401
137,1800,540,0,1.0,0.0,0.0,128500.82642261845
138,1800,540,0,1.0,0.0,0.8636363636363636,131010.62400220353
139,1800,540,0,1.0,0.0,0.9411764705882353,130370.60912963467
140,1800,540,0,1.0,0.0,0.85,111337.70436621222
141,1800,540,0,1.0,0.0,0.0,128437.6262698516
142,1800,540,1,0.8181818181818182,0.09090909090909091,0.8947368421052632,100349.57356577028
143,1800,540,1,1.0,0.0,0.0,126773.10894315355
144,1800,540,1,1.0,0.0,0.8823529411764706,136219.2869513963
145,1800,540,1,1.0,0.0,0.0,123181.14849003134
146,1800,540,1,1.0,0.0,0.9047619047619048,126700.67585781314
147,1800,540,1,1.0,0.0,0.95,119568.66004903668
148,1800,540,1,1.0,0.0,0.9047619047619048,97221.05399049754
149,1800,540,1,1.0,0.0,0.0,91225.42311071685
150,1800,540,2,0.7727272727272727,0.13636363636363635,0.9090909090909091,98244.06384917574
151,1800,540,2,0.8181818181818182,0.18181818181818182,0.0,94399.11120044239
152,1800,540,2,0.9545454545454546,0.045454545454545456,0.0,94791.1735996441
153,1800,540,2,1.0,0.0,0.0,113981.23028022764
154,1800,540,2,1.0,0.0,0.0,113964.6532205346
155,1800,540,2,1.0,0.0,0.0,114259.38163544255
156,1800,540,2,0.9090909090909091,0.09090909090909091,0.9090909090909091,107656.20529359615
157,1800,540,2,1.0,0.0,0.0,120424.31048405104
158,1800,540,3,0.7727272727272727,0.18181818181818182,0.0,95744.1605517369
159,1800,540,3,0.8181818181818182,0.18181818181818182,0.0,99049.3646143128
160,1800,630,0,1.0,0.0,0.0,122217.75665807982
161,1800,630,0,0.9130434782608695,0.08695652173913043,0.0,122085.60739867474
162,1800,630,0,1.0,0.0,0.0,124310.28670286814
163,1800,630,0,1.0,0.0,0.9,134314.53704221043
164,1800,630,0,1.0,0.0,0.0,131539.01132083288
165,1800,630,0,1.0,0.0,0.0,126013.37897621906
166,1800,630,0,1.0,0.0,0.0,115821.7293818968
167,1800,630,0,1.0,0.0,0.0,115570.46631677414
168,1800,630,0,1.0,0.0,0.9523809523809523,101430.90912691895
