,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
2627,1512,1800,0,1.0,0.0,0.0,91102.52421202345,723.0359064446305,70.62477655625679,1514.0285879075727
2628,1512,1800,0,1.0,0.0,0.0,89943.25949241396,681.3883294879845,70.47922356006305,1514.1996343184692
2629,1512,1800,0,1.0,0.0,0.0,86181.247615842,652.8882395139545,70.47922356006305,1514.7712698963005
2630,1512,1800,0,1.0,0.0,0.0,65350.52525382931,495.07973677143417,70.47922356007449,1514.5930884119043
2631,1512,1800,0,1.0,0.0,0.0,73298.51170022076,531.148635508846,70.34632734615795,1514.7281268817605
2632,1512,1800,0,0.9545454545454546,0.0,0.0,55769.844245301865,422.49882004016564,70.47922356006305,1514.201897561852
2633,1512,1800,0,0.9545454545454546,0.0,0.0,48924.501066591736,370.64015959539194,70.47922356006305,1514.3414107958706
2634,1512,1800,0,1.0,0.0,0.0,47289.024800042665,375.3097206352592,70.62477655625679,1514.6590640404065
2635,1512,1800,0,0.9545454545454546,0.0,0.0,88705.51606433254,672.0114853358525,70.47922356007449,1514.2675606027005
2636,1512,1800,0,0.9545454545454546,0.0,0.0,93009.57469729174,704.617990130998,70.47922356006305,1514.4257347126222
2637,1512,1800,0,1.0,0.0,0.0,73310.69326710507,581.8308989452784,70.62477655625679,1513.948860381628
2638,1512,1800,0,0.9545454545454546,0.0,0.0,73440.02994609252,556.3638632279736,70.47922356006305,1514.1571265629573
2639,1512,1800,0,1.0,0.0,0.0,72155.62416607319,572.6636838577238,70.62477655625679,1514.8342248580302
2640,1512,1800,0,1.0,0.0,0.0,68834.9939498897,546.3094757927754,70.62477655625679,1514.5003849997738
2641,1512,1800,0,0.9565217391304348,0.0,0.0,69112.90622136273,500.8181610243676,70.34632734615795,1514.3554153277364
2642,1512,1800,0,0.9545454545454546,0.0,0.0,59086.185385592275,447.62261655751723,70.47922356007449,1514.6578017497814
2643,1512,1800,0,1.0,0.0,0.0,51202.61922674658,406.3699938630681,70.62477655625679,1514.3669909177625
2644,1512,1800,0,1.0,0.0,0.0,47438.59829372955,376.4968118549964,70.62477655625679,1514.2269230294041
2645,1512,1800,0,0.9545454545454546,0.0,0.0,88486.35976252366,670.351210322149,70.47922356006305,1580.2913542939614
2646,1512,1800,1,1.0,0.0,0.9545454545454546,58383.21488294051,231.67942413865282,35.48951467810371,1538.7464365564692
2647,1512,1800,1,1.0,0.0,0.9545454545454546,51046.336675141916,202.56482807595998,35.48951467810671,1514.6499839876205
2648,1512,1800,1,1.0,0.0,0.9545454545454546,84236.0940395484,334.2702144426524,35.48951467810371,1514.6599529575105
2649,1512,1800,1,0.9545454545454546,0.0,0.875,53442.21058864877,139.1724234079395,25.565774190009805,1514.4673702875025
2650,1512,1800,2,1.0,0.0,0.9130434782608696,59011.42815335615,153.67559414936497,24.51783109875772,2485.870012311925
2651,1512,1800,2,1.0,0.0,0.9565217391304348,87650.91800254189,135.26376234960168,14.709491614081434,2485.2441760898073
2652,1512,1800,2,0.9565217391304348,0.0,0.875,76944.4279082257,197.2934048928864,25.17790463016087,2485.7125734198853
2653,1512,1800,2,1.0,0.0,0.9166666666666666,67701.73960589588,75.72901521912291,11.23447967355864,2485.5770004264323
2654,1512,1800,3,1.0,0.0,0.9565217391304348,87692.65791210257,173.9933688732194,18.806771122865726,2058.157402701322
2655,1512,1800,5,1.0,0.0,0.9696969696969697,90116.01149750578,54.41788133907354,8.463142309858794,1457.4886070248267
2656,1530,1800,0,0.9090909090909091,0.09090909090909091,0.0,80871.29082817318,612.6612941528272,70.47922356007449,1575.8469020660223
2657,1530,1800,0,1.0,0.0,0.0,80306.27462411292,608.3808683644918,70.47922356007449,1575.8340034388611
2658,1530,1800,0,1.0,0.0,0.0,83385.9827649897,631.7119906438614,70.47922356007449,1575.179629838999
2659,1530,1800,0,1.0,0.0,0.0,87497.5681380291,662.8603646820387,70.47922356006305,1575.1949372305608
2660,1530,1800,0,1.0,0.0,0.0,84435.08680821325,639.6597485470701,70.47922356006305,1575.6446398134176
2661,1530,1800,0,1.0,0.0,0.0,66710.98656714338,505.38626187229835,70.47922356007449,1575.5346890983728
2662,1530,1800,0,1.0,0.0,0.0,74024.13543789226,560.7889048325171,70.47922356007449,1575.3163859510405
2663,1530,1800,0,0.9545454545454546,0.0,0.0,56178.752143272344,425.5966071460026,70.47922356006305,1575.6434595977116
2664,1530,1800,0,0.9545454545454546,0.0,0.0,48245.68233251555,365.4975934281481,70.47922356007449,1575.604841462362
2665,1530,1800,0,0.9545454545454546,0.0,0.0,47873.74032652796,362.6798509585451,70.47922356007449,1575.6746135217254
2666,1530,1800,0,1.0,0.0,0.0,73085.59444763667,553.6787458154294,70.47922356006305,1575.3860333772282
2667,1530,1800,0,1.0,0.0,0.0,73564.14307952177,557.3041142388013,70.47922356006305,1575.6140675884199
2668,1530,1800,0,1.0,0.0,0.0,73113.96864918078,553.8937018877332,70.47922356006305,1575.5803655349555
2669,1530,1800,0,1.0,0.0,0.0,69579.30174096336,527.1159222800254,70.47922356007449,1575.7191928701832
2670,1530,1800,0,1.0,0.0,0.0,69613.46319801503,527.3747211970835,70.47922356006305,1575.4449468944986
2671,1530,1800,0,1.0,0.0,0.0,60115.30170668356,455.4189523233603,70.47922356006305,1575.306172743818
2672,1530,1800,0,1.0,0.0,0.0,52661.75579541624,398.95269541982,70.47922356007449,1575.6895691672617
2673,1530,1800,0,1.0,0.0,0.0,48339.00554892944,366.2045874918897,70.47922356006305,1575.5196367610042
2674,1530,1800,0,1.0,0.0,0.0,88719.3715664243,672.1164512607902,70.47922356006305,1575.3741911848629
2675,1530,1800,1,1.0,0.0,0.9565217391304348,60456.844494578036,229.00319884309863,35.41673818001051,1597.3344137971908
2676,1530,1800,1,0.9545454545454546,0.0,0.9166666666666666,52279.58068739583,198.02871472498418,36.9450446400091,1532.4548345082967
2677,1530,1800,1,1.0,0.0,0.9565217391304348,88756.29326452345,336.1980805474373,35.416738180007656,1532.406286810331
2678,1530,1800,1,1.0,0.0,0.9565217391304348,84472.93494115875,319.9732384134801,35.41673818001051,1532.553777351477
2679,1530,1800,1,1.0,0.0,0.9565217391304348,91529.82577224883,346.70388550094253,35.41673818001051,1532.5260483634192
2680,1530,1800,1,1.0,0.0,0.9565217391304348,87888.01820626904,332.9091598722312,35.41673818001051,1532.6465277124316
2681,1530,1800,1,0.9545454545454546,0.0,0.9583333333333334,53048.6440976597,133.96122246883763,24.804472426674234,1532.0693212868864
2682,1530,1800,2,1.0,0.0,0.9583333333333334,92670.63870350327,87.75628665104476,9.589507560000346,1600.548238358493
2683,1530,1800,2,0.9545454545454546,0.0,0.9583333333333334,60139.01020754101,151.86618739278032,24.804472426674238,1532.697855587483
2684,1530,1800,2,1.0,0.0,0.96,88060.2811977083,133.42466848137622,15.66952220000849,1532.5442151728394
2685,1530,1800,2,0.9565217391304348,0.0,0.88,78645.2994142074,195.63507316967016,25.440564041800297,1532.4643231830778
2686,1530,1800,2,0.9545454545454546,0.0,0.9615384615384616,68848.0372797432,74.51086285686495,11.756843874288588,1532.3399400138624
2687,1530,1800,3,1.0,0.0,0.9583333333333334,89280.80300033069,112.72828661657915,12.637062880008244,1590.1899657371578
2688,1548,1800,0,1.0,0.0,0.0,81641.19330757341,618.493888693738,70.47922356006305,1600.3661271094616
2689,1548,1800,0,1.0,0.0,0.0,81326.28550847119,616.1082235490242,70.47922356007449,1600.3616971069923
2690,1548,1800,0,1.0,0.0,0.0,82831.39011119465,657.3919850094813,70.62477655625679,1600.6345917629933
2691,1548,1800,0,1.0,0.0,0.0,87499.0930392469,694.4372463432294,70.62477655626877,1600.421412890937
2692,1548,1800,0,1.0,0.0,0.0,84508.11900178544,640.2130227407988,70.47922356007449,1600.4155070757424
2693,1548,1800,0,1.0,0.0,0.0,65095.01826966275,516.6271291243075,70.62477655625679,1600.5276575525386
2694,1548,1800,0,1.0,0.0,0.0,73236.47710288051,554.8217962339432,70.47922356007449,1600.4089249753324
2695,1548,1800,0,0.9545454545454546,0.0,0.0,55378.28877359768,419.53249070907333,70.47922356007449,1601.1554075293825
2696,1548,1800,0,0.9545454545454546,0.0,0.0,48894.07471486976,370.40965693083155,70.47922356007449,1601.047095626749
