,CAD_INTERVAL_RANDOM_S,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
166,0.095,1800,0,1.0,0.0,0.0,69474.5821268719,503.4390009193616,70.34632734615795,902.3322719981843
167,0.095,1800,0,0.9545454545454546,0.0,0.0,54314.02832452512,411.4699115494327,70.47922356006305,902.443256001945
168,0.095,1800,0,0.9130434782608695,0.0,0.0,48670.57477396271,352.6853244490052,70.346327346147,902.3322720026517
169,0.095,1800,0,1.0,0.0,0.0,44274.32863173596,351.38356056933304,70.62477655625679,902.4432560026507
170,0.095,1800,0,1.0,0.0,0.0,81740.84965231142,648.7369020024715,70.62477655625679,902.3322720026517
171,0.095,1800,0,1.0,0.0,0.0,82626.11853067121,655.7628454815176,70.62477655625679,902.4432560026507
172,0.095,1800,0,0.9545454545454546,0.0,0.0,70194.90281630485,531.7795667901883,70.47922356006305,902.3322720026517
173,0.095,1800,0,1.0,0.0,0.0,70453.26706803773,559.1529132383947,70.62477655625679,902.1668840026468
174,0.095,1800,0,0.5217391304347826,0.43478260869565216,0.0,69352.30625695839,502.55294389100277,70.34632734615795,902.3322720026517
175,0.095,1800,0,0.5,0.045454545454545456,0.0,67765.30148918038,513.3734961301543,70.47922356006305,902.1668840026468
176,0.095,1800,0,0.9545454545454546,0.0,0.0,66383.67873675715,502.9066570966451,70.47922356006305,902.3322719987518
177,0.095,1800,0,0.9565217391304348,0.0,0.0,55396.222160119614,401.4218997110117,70.34632734615795,902.166883997379
178,0.095,1800,0,0.9545454545454546,0.0,0.0,49518.674516928266,375.1414736130929,70.47922356006305,902.3322719976568
179,0.095,1800,0,0.9545454545454546,0.0,0.0,48378.24559571191,366.5018605735751,70.47922356006305,902.1668839981867
180,0.095,1800,0,0.9545454545454546,0.0,0.0,80709.99342255156,611.4393441102391,70.47922356006305,902.3322719976568
181,0.095,1800,1,1.0,0.0,0.84,59909.58943009388,226.93026299277986,38.46932550000928,886.0935439999128
182,0.095,1800,1,0.9565217391304348,0.0,0.875,49422.954434070954,187.20816073511725,36.94101904001069,902.1952800001186
183,0.095,1800,1,1.0,0.0,0.9130434782608696,77353.38376393696,299.8193169144843,36.23214481675233,901.9716920003957
184,0.095,1800,1,1.0,0.0,0.9565217391304348,51616.18859078447,134.4171577885012,24.517831098759686,558.44333200029
185,0.095,1800,2,1.0,0.0,0.9583333333333334,85485.04886937735,77.85523576446025,9.235278545139048,900.4366760004614
186,0.095,1800,2,0.9545454545454546,0.0,0.9117647058823529,63494.747285061625,165.3509043881813,36.02029670251638,343.14704000018537
187,0.095,1800,2,0.9545454545454546,0.0,0.9166666666666666,84026.80337790126,130.88287130514215,15.470459807110132,124.1863359997842
188,0.095,1800,2,1.0,0.0,0.9565217391304348,70743.01832531123,184.22661022216468,24.520598698758107,319.9364279993024
189,0.095,1800,2,1.0,0.0,0.9411764705882353,71927.56312777438,80.45588716753286,15.747599421218165,123.45321199978571
190,0.095,1800,3,1.0,0.0,0.9545454545454546,82432.30159519635,163.55615395872292,18.01044693905528,834.012756000413
191,0.095,1800,3,0.5217391304347826,0.043478260869565216,0.9428571428571428,85760.65921619558,183.24927182947772,30.503529184628803,833.7151919990229
192,0.114,1800,0,1.0,0.0,0.0,73880.32335108353,586.351772627647,70.62477655625679,849.7011279996168
193,0.114,1800,0,1.0,0.0,0.0,73067.94557177159,579.9043299346952,70.62477655625679,902.349807999407
194,0.114,1800,0,1.0,0.0,0.0,78365.8696857956,593.680830952997,70.47922356006305,902.0954359985262
195,0.114,1800,0,1.0,0.0,0.0,81480.0748595156,590.4353250689536,70.346327346147,902.3498079985075
196,0.114,1800,0,1.0,0.0,0.0,78486.4111778535,594.5940240746477,70.47922356006305,902.5731879985433
197,0.114,1800,0,1.0,0.0,0.0,60576.50275923598,438.9601649219998,70.346327346147,902.3498079985075
198,0.114,1800,0,1.0,0.0,0.0,71652.4368390097,519.220556804418,70.346327346147,902.5731880028616
199,0.114,1800,0,0.9565217391304348,0.0,0.0,52993.53313271424,384.01110965734955,70.346327346147,902.3498080028439
200,0.114,1800,0,0.9565217391304348,0.0,0.0,46326.98002068848,335.702753773105,70.34632734615795,902.5731880028616
201,0.114,1800,0,0.9545454545454546,0.0,0.0,44681.806001416495,338.4985303137613,70.47922356006305,902.3498080028439
202,0.114,1800,0,1.0,0.0,0.0,80259.52834456277,636.9803836870061,70.62477655625679,902.5731880028616
203,0.114,1800,0,0.9545454545454546,0.0,0.0,86315.77758947089,653.90740598084,70.47922356006305,902.3498080028439
204,0.114,1800,0,0.9545454545454546,0.0,0.0,67772.10967406713,513.4250732883874,70.47922356006305,902.5731880028616
205,0.114,1800,0,0.9130434782608695,0.0,0.0,67259.47582822113,487.3875060016024,70.34632734615795,902.3498080028439
206,0.114,1800,0,0.9090909090909091,0.0,0.0,67691.66127865294,512.8156157473708,70.47922356006305,902.5731880028616
207,0.114,1800,0,0.9545454545454546,0.0,0.0,67304.83482510938,509.88511231143474,70.47922356006305,902.3498079989222
208,0.114,1800,0,0.9545454545454546,0.0,0.0,65240.877381509265,494.2490710720399,70.47922356006305,902.5731879976447
209,0.114,1800,0,0.9130434782608695,0.043478260869565216,0.0,56113.63025756482,406.62050911278857,70.346327346147,902.3498079981291
210,0.114,1800,0,0.9545454545454546,0.0,0.0,48791.56671457345,369.633081171011,70.47922356006305,902.5731879976447
211,0.114,1800,0,1.0,0.0,0.0,44141.9379886711,350.3328411799294,70.62477655625679,902.3498079981291
212,0.114,1800,1,1.0,0.0,0.9545454545454546,56418.518374980966,223.88300942452764,35.48951467810371,987.3792079996092
213,0.114,1800,1,1.0,0.0,0.9130434782608696,48025.18707796177,190.576139198261,37.09059763620047,902.1074359990716
214,0.114,1800,1,1.0,0.0,0.9130434782608696,79726.55086838688,207.62122621975752,24.517831098757227,902.6051879985498
215,0.114,1800,1,0.9545454545454546,0.0,0.9166666666666666,85422.54356311902,165.5475650448043,19.15956702512436,902.0438015881082
216,0.114,1800,1,0.9565217391304348,0.0,0.88,51572.22265035082,132.23646833423288,26.20972552000763,902.1274359985327
217,0.114,1800,1,1.0,0.0,0.9545454545454546,81520.43182639028,323.4937770888503,35.48951467810371,902.2360399984245
218,0.114,1800,2,1.0,0.0,0.9428571428571428,91718.45743977357,72.79242653950283,11.630153689527914,907.5774572305281
219,0.114,1800,2,0.9130434782608695,0.0,0.88,57813.259357642615,143.8140780040861,25.440564041799828,907.46768399962
220,0.114,1800,2,1.0,0.0,0.9130434782608696,82803.1546842313,215.633215323519,24.517831098757227,902.1804359990565
221,0.114,1800,2,0.9565217391304348,0.0,0.875,71604.54203296114,183.60138982810548,25.17790463016087,260.7126559995777
222,0.114,1800,2,1.0,0.0,0.9696969696969697,70231.69634787901,78.03521816431001,15.210843994139598,902.1689655883147
223,0.114,1800,4,0.9090909090909091,0.0,0.9428571428571428,88253.58530569868,137.46664377834685,22.38189158505423,1168.8719424092196
224,0.133,1800,0,1.0,0.0,0.0,73407.34772106576,556.1162706141346,70.47922356006305,962.8185307940507
225,0.133,1800,0,1.0,0.0,0.0,73895.87304482581,535.4773409045349,70.346327346147,962.569271999917
226,0.133,1800,0,1.0,0.0,0.0,76538.57222794312,579.8376683935085,70.47922356006305,962.9052639995389
227,0.133,1800,0,1.0,0.0,0.0,81468.0065589246,590.3478736153957,70.346327346147,962.5538919987848
228,0.133,1800,0,1.0,0.0,0.0,77612.38924227474,587.9726457748087,70.47922356006305,962.4745119987565
229,0.133,1800,0,1.0,0.0,0.0,60974.19916357827,441.8420229244802,70.346327346147,962.249519998808
230,0.133,1800,0,1.0,0.0,0.0,68862.77969838958,521.6877249877998,70.47922356006305,962.4745119987565
231,0.133,1800,0,0.45454545454545453,0.5454545454545454,0.0,45000.286263123366,340.9112595691164,70.47922356007449,962.2495200032718
232,0.133,1800,0,0.9565217391304348,0.0,0.0,45589.79929137771,330.3608644302733,70.346327346147,962.4745120032603
